,Survived_0,Survived_1,Surviveds_0,Surviveds_1,Survivedt_0,Survivedt_1,Survivedg_0,Survivedg_1
128,1,0,0,1,0,1,0,1
129,1,0,1,0,1,0,1,0
130,1,0,1,0,1,0,1,0
131,0,1,0,1,0,1,0,1
132,1,0,0,1,1,0,0,1
133,1,0,1,0,1,0,1,0
134,1,0,1,0,1,0,1,0
135,0,1,0,1,0,1,0,1
136,0,1,0,1,0,1,0,1
137,1,0,1,0,1,0,1,0
138,0,1,0,1,1,0,0,1
139,1,0,0,1,1,0,0,1
140,1,0,1,0,1,0,1,0
141,1,0,1,0,1,0,1,0
142,1,0,0,1,0,1,0,1
143,1,0,1,0,1,0,1,0
144,1,0,1,0,1,0,1,0
145,1,0,1,0,1,0,1,0
146,1,0,1,0,1,0,1,0
147,1,0,1,0,1,0,1,0
148,0,1,0,1,0,1,0,1
149,1,0,1,0,1,0,1,0
150,1,0,1,0,1,0,1,0
151,1,0,1,0,1,0,1,0
152,1,0,1,0,1,0,1,0
153,1,0,1,0,1,0,1,0
154,0,1,0,1,0,1,0,1
155,1,0,1,0,1,0,1,0
156,1,0,1,0,1,0,1,0
157,0,1,0,1,1,0,0,1
158,0,1,0,1,0,1,0,1
159,1,0,1,0,1,0,1,0
160,0,1,1,0,1,0,1,0
161,1,0,1,0,1,0,1,0
162,0,1,0,1,1,0,0,1
163,1,0,1,0,1,0,1,0
164,1,0,1,0,1,0,1,0
165,1,0,1,0,1,0,1,0
166,0,1,0,1,0,1,0,1
167,0,1,0,1,0,1,0,1
168,1,0,1,0,1,0,1,0
169,1,0,1,0,1,0,1,0
170,1,0,1,0,1,0,1,0
171,1,0,1,0,1,0,1,0
172,0,1,0,1,0,1,0,1
173,0,1,0,1,0,1,0,1
174,0,1,0,1,1,0,0,1
175,0,1,0,1,0,1,0,1
176,1,0,1,0,1,0,1,0
177,0,1,0,1,0,1,0,1
178,0,1,0,1,0,1,0,1
